gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
2278,2008,11,SUN,SD,PIT,Heinz Field,35,80,14,WSW,Snow,Grass,41.5,5,10,11
2279,2008,11,SN,DAL,WAS,FedEx Field,44,46,7,W,Clear,Grass,42.5,-1.5,14,10
2280,2008,11,MN,CLE,BUF,Ralph Wilson Stadium,30,66,9,NW,Partly Cloudy,AstroPlay,42,5.5,29,27
2281,2008,12,THU,CIN,PIT,Heinz Field,32,71,11,W,Cloudy,Grass,34,10.5,10,27
2282,2008,12,SUN,HOU,CLE,Cleveland Browns Stadium,30,79,12,SW,Sunny,Grass,50,3,16,6
2283,2008,12,SUN,BUF,KC,Arrowhead Stadium,50,56,13,S,Mostly Sunny,Grass,43.5,-3.5,54,31
2284,2008,12,SUN,NYJ,TEN,LP Field,52,26,6,SSW,Sunny,Grass,41,5.5,34,13
2285,2008,12,SUN,NE,MIA,Dolphins Stadium,73,44,14,ENE,Partly Cloudy,Grass,42,1,48,28
2286,2008,12,SUN,SF,DAL,Texas Stadium,64,60,,,,AstroTurf,46.5,10,22,35
2287,2008,12,SUN,TB,DET,Ford Field,68,,,,Dome,FieldTurf,41.5,-8,38,20
2288,2008,12,SUN,PHI,BAL,M&T Bank Stadium,39,38,5,WSW,Sunny,FieldTurf,39.5,1,7,36
2289,2008,12,SUN,CHI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,43,-7.5,27,3
2290,2008,12,SUN,MIN,JAC,Jacksonville Municipal Stadium,66,41,5,NW,Clear,Grass,41,2.5,30,12
2291,2008,12,SUN,CAR,ATL,Georgia Dome,,,,,Dome,AstroTurf,42.5,1,28,45
2292,2008,12,SUN,OAK,DEN,Invesco Field at Mile High,47,30,15,NE,Partly Cloudy,Grass,43,9,31,10
2293,2008,12,SUN,WAS,SEA,Qwest Field,49,60,4,ENE,Sunny,FieldTurf,40,-3.5,20,17
2294,2008,12,SUN,NYG,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,48.5,-3,37,29
2295,2008,12,SN,IND,SD,Qualcomm Stadium,58,63,8,WSW,Clear,Grass,49,3,23,20
2296,2008,12,MN,GB,NO,Louisiana Superdome,65,,,,Dome,MomentumTurf,51,2.5,29,51
2297,2008,13,THU,TEN,DET,Ford Field,68,,,,Dome,FieldTurf,44,-11,47,10
2298,2008,13,THU,SEA,DAL,Texas Stadium,69,31,,,,AstroTurf,46.5,12.5,9,34
2299,2008,13,THU,ARI,PHI,Lincoln Financial Field,41,62,5,SSW,Partly Cloudy,Grass,47,3,20,48
2300,2008,13,SUN,DEN,NYJ,The Meadowlands,36,89,10,NE,Rain,FieldTurf,47.5,9,34,17
2301,2008,13,SUN,SF,BUF,Ralph Wilson Stadium,38,69,15,ESE,Mostly Cloudy,AstroPlay,42.5,6.5,10,3
2302,2008,13,SUN,NO,TB,Raymond James Stadium,73,83,30,SSW,Cloudy,Grass,46.5,4.5,20,23
2303,2008,13,SUN,CAR,GB,Lambeau Field,37,75,10,NE,Cloudy,DD GrassMaster,42,3,35,31
2304,2008,13,SUN,NYG,WAS,FedEx Field,40,92,10,NE,Rain,Grass,41.5,-3.5,23,7
2305,2008,13,SUN,MIA,STL,Edward Jones Dome,,,,,Dome,AstroTurf,43.5,-9,16,12
2306,2008,13,SUN,BAL,CIN,Paul Brown Stadium,42,93,3,SSW,Rain,FieldTurf,36.5,-7,34,3
2307,2008,13,SUN,IND,CLE,Cleveland Browns Stadium,36,90,15,SE,Rain,Grass,44.5,-4.5,10,6
2308,2008,13,SUN,ATL,SD,Qualcomm Stadium,73,62,8,WSW,Sunny,Grass,48.5,4.5,22,16
2309,2008,13,SUN,PIT,NE,Gillette Stadium,34,100,3,N,Rain,FieldTurf,40,1,33,10
2310,2008,13,SUN,KC,OAK,O.co Coliseum Oakland,59,72,6,W,Partly Cloudy,Grass,41.5,3,20,13
2311,2008,13,SN,CHI,MIN,Metrodome,65,,,,Dome,FieldTurf,41.5,3.5,14,34
2312,2008,13,MN,JAC,HOU,Reliant Stadium,53,32,11,N,Clear,Grass,48,3,17,30
2313,2008,14,THU,OAK,SD,Qualcomm Stadium,62,70,8,SSW,Clear,Grass,42,9.5,7,34
2314,2008,14,SUN,MIA,BUF,Rogers Centre,,,,,Closed Roof,AstroTurf,42,1,16,3
2315,2008,14,SUN,JAC,CHI,Soldier Field,19,43,8,W,Mostly Cloudy,Grass,40,6.5,10,23
2316,2008,14,SUN,HOU,GB,Lambeau Field,3,79,3,S,Mostly Cloudy,DD GrassMaster,47.5,6,24,21
2317,2008,14,SUN,CIN,IND,Lucas Oil Stadium,,,,,Closed Roof,FieldTurf,42,13.5,3,35
2318,2008,14,SUN,CLE,TEN,LP Field,32,42,6,ENE,Sunny,Grass,37,14,9,28
2319,2008,14,SUN,MIN,DET,Ford Field,68,,,,Dome,FieldTurf,45,-10,20,16
2320,2008,14,SUN,PHI,NYG,Giants Stadium,35,47,21,WNW,Cloudy,FieldTurf,43,7,20,14
2321,2008,14,SUN,ATL,NO,Louisiana Superdome,55,,,,Dome,MomentumTurf,51,3,25,29
2322,2008,14,SUN,KC,DEN,Invesco Field at Mile High,64,25,4,SW,Partly Cloudy,Grass,48.5,9,17,24
2323,2008,14,SUN,NYJ,SF,Candlestick Park,52,80,10,W,Cloudy,Grass,44.5,-4,14,24
2324,2008,14,SUN,NE,SEA,Qwest Field,50,86,3,S,Cloudy,FieldTurf,43,-6.5,24,21
2325,2008,14,SUN,DAL,PIT,Heinz Field,22,42,16,WNW,Mostly Cloudy,Grass,38.5,3,13,20
2326,2008,14,SUN,STL,ARI,University of Phoenix Stadium,63,31,5,NE,,Grass,48.5,14,10,34
2327,2008,14,SN,WAS,BAL,M&T Bank Stadium,29,36,20,WNW,Clear,FieldTurf,35.5,5.5,10,24
2328,2008,14,MN,TB,CAR,Bank of America Stadium,38,31,4,S,Cloudy,Grass,38,3,23,38
2329,2008,15,THU,NO,CHI,Soldier Field,28,60,11,NW,Partly Cloudy,Grass,44.5,3,24,27
2330,2008,15,SUN,PIT,BAL,M&T Bank Stadium,45,53,14,SSE,Mostly Cloudy,FieldTurf,34,2.5,13,9
2331,2008,15,SUN,DEN,CAR,Bank of America Stadium,46,64,5,NW,Cloudy,Grass,47.5,9,10,30
2332,2008,15,SUN,TEN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,45,-3.5,12,13
2333,2008,15,SUN,SD,KC,Arrowhead Stadium,36,65,25,NW,Cloudy,Grass,45,-6,22,21
2334,2008,15,SUN,BUF,NYJ,The Meadowlands,40,47,20,SSW,Cloudy,FieldTurf,41.5,7.5,27,31
2335,2008,15,SUN,TB,ATL,Georgia Dome,,,,,Dome,FieldTurf,44,3,10,13
2336,2008,15,SUN,WAS,CIN,Paul Brown Stadium,49,40,15,SSW,Cloudy,FieldTurf,36.5,-6.5,13,20
2337,2008,15,SUN,DET,IND,Lucas Oil Stadium,,,,,Closed Roof,FieldTurf,44.5,17,21,31
2338,2008,15,SUN,GB,JAC,Jacksonville Municipal Stadium,67,60,6,NE,Chance Rain,Grass,45,-1,16,20
2339,2008,15,SUN,SF,MIA,Dolphins Stadium,77,54,17,ESE,Cloudy,Grass,41.5,6,9,14
2340,2008,15,SUN,SEA,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41.5,-1,23,20
2341,2008,15,SUN,MIN,ARI,University of Phoenix Stadium,54,22,10,W,Cloudy,Grass,46,3,35,14
2342,2008,15,SUN,NE,OAK,O.co Coliseum Oakland,44,83,15,SSE,Cloudy,Grass,40,-6.5,49,26
2343,2008,15,SN,NYG,DAL,Texas Stadium,71,57,,,,AstroTurf,45.5,3,8,20
2344,2008,15,MN,CLE,PHI,Lincoln Financial Field,58,83,12,SSW,Cloudy,Grass,39.5,14,10,30
2345,2008,16,THU,IND,JAC,Jacksonville Municipal Stadium,66,84,4,SE,Clear,Grass,44,-6.5,31,24
2346,2008,16,SAT,BAL,DAL,Texas Stadium,45,45,,,,AstroTurf,39,4,33,24
2347,2008,16,SUN,CIN,CLE,Cleveland Browns Stadium,18,63,26,SW,Sunny,Grass,32.5,3,14,0
2348,2008,16,SUN,MIA,KC,Arrowhead Stadium,10,45,20,NNW,Sunny,Grass,38.5,-3.5,38,31
2349,2008,16,SUN,PIT,TEN,LP Field,29,37,11,NW,Sunny,Grass,34.5,-2,14,31
2350,2008,16,SUN,ARI,NE,Gillette Stadium,30,100,10,S,Snow,FieldTurf,45,9,7,47
2351,2008,16,SUN,NO,DET,Ford Field,68,,,,Dome,FieldTurf,50.5,-7,42,7
2352,2008,16,SUN,SF,STL,Edward Jones Dome,,,,,Dome,AstroTurf,43,-5,17,16
2353,2008,16,SUN,SD,TB,Raymond James Stadium,72,82,10,SW,Sunny,Grass,42.5,3.5,41,24
2354,2008,16,SUN,NYJ,SEA,Qwest Field,31,60,11,SE,Snow,FieldTurf,42,-4,3,13
2355,2008,16,SUN,HOU,OAK,O.co Coliseum Oakland,48,80,6,SSE,Cloudy,Grass,43,-7,16,27
2356,2008,16,SUN,BUF,DEN,Invesco Field at Mile High,17,61,8,N,Sunny,Grass,45,6.5,30,23
2357,2008,16,SUN,PHI,WAS,FedEx Field,42,39,17,NW,Sunny,Grass,37.5,-4.5,3,10
2358,2008,16,SUN,ATL,MIN,Metrodome,60,,,,Dome,FieldTurf,43,3,24,17
2359,2008,16,SN,CAR,NYG,Giants Stadium,34,42,18,W,Clear,FieldTurf,37.5,3,28,34
2360,2008,16,MN,GB,CHI,Soldier Field,2,77,9,WSW,Cloudy,Grass,41,3.5,17,20
2361,2008,17,SUN,CLE,PIT,Heinz Field,48,50,22,WSW,Cloudy,Grass,33.5,11,0,31
2362,2008,17,SUN,TEN,IND,Lucas Oil Stadium,,,,,Closed Roof,FieldTurf,39,-3,0,23
2363,2008,17,SUN,NE,BUF,Ralph Wilson Stadium,39,74,35,SW,Mostly Cloudy,AstroPlay,40,-6,13,0
2364,2008,17,SUN,KC,CIN,Paul Brown Stadium,43,56,17,W,Sunny,FieldTurf,38.5,3,6,16
2365,2008,17,SUN,OAK,TB,Raymond James Stadium,77,61,8,SSE,Sunny,Grass,39,13,31,24
2366,2008,17,SUN,NYG,MIN,Metrodome,68,,,,Dome,FieldTurf,42.5,7,19,20
2367,2008,17,SUN,CHI,HOU,Reliant Stadium,46,57,11,N,Cloudy,Grass,46.5,3,24,31
2368,2008,17,SUN,STL,ATL,Georgia Dome,68,,,,Dome,FieldTurf,44,14,27,31
2369,2008,17,SUN,DET,GB,Lambeau Field,22,71,13,SW,Sunny,DD GrassMaster,43,10.5,21,31
2370,2008,17,SUN,CAR,NO,Louisiana Superdome,60,,,,Dome,MomentumTurf,51.5,-3,33,31
2371,2008,17,SUN,JAC,BAL,M&T Bank Stadium,62,60,18,WSW,Cloudy,FieldTurf,37,12,7,27
2372,2008,17,SUN,WAS,SF,Candlestick Park,50,83,8,E,Cloudy,Grass,37.5,3,24,27
2373,2008,17,SUN,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,45.5,6.5,21,34
2374,2008,17,SUN,MIA,NYJ,The Meadowlands,65,85,15,SW,Cloudy,FieldTurf,42.5,3,24,17
2375,2008,17,SUN,DAL,PHI,Lincoln Financial Field,62,68,17,WSW,Cloudy,Grass,42.5,1.5,6,44
2376,2008,17,SN,DEN,SD,Qualcomm Stadium,58,46,8,NNW,Clear,Grass,50.5,9,21,52
2377,2008,18,SUN,ATL,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,50.5,-1,24,30
2378,2008,18,SUN,IND,SD,Qualcomm Stadium,53,77,8,S,Cloudy,Grass,49.5,1,17,23
2379,2008,18,SUN,BAL,MIA,Dolphins Stadium,79,66,16,ESE,Cloudy,Grass,38.5,-3.5,27,9
2380,2008,18,SUN,PHI,MIN,Metrodome,65,,,,Dome,FieldTurf,41,-3,26,14
2381,2008,19,SUN,BAL,TEN,LP Field,53,90,11,NNW,Cloudy,Grass,34.5,3,13,10
2382,2008,19,SUN,ARI,CAR,Bank of America Stadium,45,60,10,SW,Rain,Grass,48.5,9.5,33,13
2383,2008,19,SUN,PHI,NYG,Giants Stadium,30,55,20,NW,Partly Cloudy,FieldTurf,40,4,23,11
2384,2008,19,SUN,SD,PIT,Heinz Field,26,69,5,WNW,Light Snow,Grass,38,6,24,35
2385,2008,20,SUN,BAL,PIT,Heinz Field,26,69,12,W,Cloudy,Grass,34,6,14,23
2386,2008,20,SUN,PHI,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,47,-4,25,32
2387,2008,21,SB,PIT,ARI,Raymond James Stadium,66,43,1,ENE,Mostly Cloudy,Grass,46,-7,27,23
2388,2009,1,THU,TEN,PIT,Heinz Field,67,54,9,E,Mostly Cloudy,Grass,35,6,10,13
2389,2009,1,SUN,MIA,ATL,Georgia Dome,,,,,Dome,AstroTurf,43.5,4.5,7,19
2390,2009,1,SUN,KC,BAL,M&T Bank Stadium,76,68,5,N,Partly Cloudy,FieldTurf,36,13,24,38
2391,2009,1,SUN,PHI,CAR,Bank of America Stadium,82,61,5,NNE,Sunny,Grass,43.5,-3,38,10
2392,2009,1,SUN,DEN,CIN,Paul Brown Stadium,73,47,7,NE,Sunny,FieldTurf,43,4.5,12,7
2393,2009,1,SUN,MIN,CLE,Cleveland Browns Stadium,70,,9,NW,Sunny,Grass,39.5,-3.5,34,20
2394,2009,1,SUN,NYJ,HOU,Reliant Stadium,,,,,Closed Roof,Grass,44.5,4,24,7
2395,2009,1,SUN,JAC,IND,Lucas Oil Stadium,74,46,8,ENE,Sunny,FieldTurf,45,7,12,14
2396,2009,1,SUN,DET,NO,Louisiana Superdome,81,,,,Dome,MomentumTurf,48.5,13,27,45
2397,2009,1,SUN,DAL,TB,Raymond James Stadium,85,82,6,SW,Cloudy,Grass,39,-5.5,34,21
2398,2009,1,SUN,SF,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,46,6,20,16
2399,2009,1,SUN,WAS,NYG,Giants Stadium,80,41,8,NW,Sunny,FieldTurf,37.5,6.5,17,23
2400,2009,1,SUN,STL,SEA,Qwest Field,73,55,5,NW,Sunny,FieldTurf,40.5,7.5,0,28
2401,2009,1,SN,CHI,GB,Lambeau Field,76,59,0,CALM,Clear,DD GrassMaster,46,3.5,15,21
2402,2009,1,MN,BUF,NE,Gillette Stadium,70,53,5,SW,Clear,FieldTurf,47,10.5,24,25
2403,2009,1,MN,SD,OAK,O.co Coliseum Oakland,63,86,12,W,,Grass,43,-9.5,24,20
2404,2009,2,SUN,CAR,ATL,Georgia Dome,,,,,Dome,AstroTurf,42.5,6.5,20,28
2405,2009,2,SUN,MIN,DET,Ford Field,68,,,,Dome,FieldTurf,45,-10,27,13
2406,2009,2,SUN,CIN,GB,Lambeau Field,68,54,7,S,Sunny,DD GrassMaster,41.5,9.5,31,24
2407,2009,2,SUN,ARI,JAC,Jacksonville Municipal Stadium,83,74,8,E,Chance Rain,Grass,42.5,3.5,31,17
2408,2009,2,SUN,OAK,KC,Arrowhead Stadium,72,70,5,E,Partly Cloudy,Grass,38.5,3,13,10
2409,2009,2,SUN,NE,NYJ,The Meadowlands,69,41,5,SSW,Clear,FieldTurf,46,-3.5,9,16
2410,2009,2,SUN,NO,PHI,Lincoln Financial Field,68,53,2,SSE,Sunny,Grass,46,1,48,22
2411,2009,2,SUN,HOU,TEN,LP Field,77,83,13,S,Cloudy,Grass,41,6.5,34,31
2412,2009,2,SUN,STL,WAS,FedEx Field,72,62,7,NE,Sunny,Grass,37,10,7,9
2413,2009,2,SUN,TB,BUF,Ralph Wilson Stadium,74,47,4,N,Sunny,AstroPlay,42,4,20,33
2414,2009,2,SUN,SEA,SF,Candlestick Park,68,70,0,CALM,Sunny,Grass,39,1,10,23
2415,2009,2,SUN,PIT,CHI,Soldier Field,70,63,13,NE,Chance Rain,Grass,37.5,-3,14,17
2416,2009,2,SUN,CLE,DEN,Invesco Field at Mile High,82,20,9,SW,Partly Cloudy,Grass,39,3,6,27
2417,2009,2,SUN,BAL,SD,Qualcomm Stadium,83,50,8,W,Sunny,Grass,40.5,3,31,26
2418,2009,2,SN,NYG,DAL,Cowboys Stadium,84,50,7,S,Partly Cloudy,AstroTurf,45,3,33,31
2419,2009,2,MN,IND,MIA,Land Shark Stadium,84,67,10,E,Cloudy,Grass,42,-3,27,23
2420,2009,3,SUN,CLE,BAL,M&T Bank Stadium,72,96,6,WSW,Partly Sunny,Sportex,38.5,13.5,3,34
2421,2009,3,SUN,PIT,CIN,Paul Brown Stadium,65,76,9,SW,Mostly Cloudy,FieldTurf,37,-3.5,20,23
2422,2009,3,SUN,WAS,DET,Ford Field,68,,,,Dome,FieldTurf,38.5,-6.5,14,19
2423,2009,3,SUN,JAC,HOU,Reliant Stadium,85,68,5,WSW,Sunny,Grass,47,3.5,31,24
2424,2009,3,SUN,SF,MIN,Metrodome,68,,,,Dome,FieldTurf,39,7,24,27
2425,2009,3,SUN,ATL,NE,Gillette Stadium,62,96,0,CALM,Rain,FieldTurf,47,4.5,10,26
2426,2009,3,SUN,TEN,NYJ,The Meadowlands,66,90,8,ESE,Rain,FieldTurf,37,3,17,24
2427,2009,3,SUN,KC,PHI,Lincoln Financial Field,69,84,6,NNE,Partly Cloudy,Grass,40,9,14,34
2428,2009,3,SUN,GB,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41,-6.5,36,17
2429,2009,3,SUN,NYG,TB,Raymond James Stadium,88,75,12,NNW,Cloudy,Grass,45.5,-6.5,24,0
2430,2009,3,SUN,NO,BUF,Ralph Wilson Stadium,64,85,9,WSW,Cloudy,AstroPlay,51.5,-6,27,7
2431,2009,3,SUN,CHI,SEA,Qwest Field,60,61,7,NNW,Sunny,FieldTurf,37,-1,25,19
2432,2009,3,SUN,DEN,OAK,O.co Coliseum Oakland,81,49,6,W,Sunny,Grass,36.5,-1,23,3
2433,2009,3,SUN,MIA,SD,Qualcomm Stadium,80,58,11,WSW,Sunny,Grass,44,6,13,23
2434,2009,3,SN,IND,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,48,3,31,10
2435,2009,3,MN,CAR,DAL,Cowboys Stadium,,,,,Closed Roof,AstroTurf,47.5,9,7,21
2436,2009,4,SUN,DET,CHI,Soldier Field,53,70,14,WSW,Partly Cloudy,Grass,39.5,10,24,48
2437,2009,4,SUN,CIN,CLE,Cleveland Browns Stadium,58,66,15,SW,Cloudy,Grass,38,-6,23,20
2438,2009,4,SUN,OAK,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,9,6,29
2439,2009,4,SUN,SEA,IND,Lucas Oil Stadium,56,65,7,WNW,Cloudy,FieldTurf,44.5,10.5,17,34
2440,2009,4,SUN,TEN,JAC,Jacksonville Municipal Stadium,79,68,5,NE,Chance Rain,Grass,42,-3,17,37
2441,2009,4,SUN,NYG,KC,Arrowhead Stadium,59,50,10,ENE,Sunny,Grass,42.5,-9,27,16
2442,2009,4,SUN,BAL,NE,Gillette Stadium,64,80,2,NW,Cloudy,FieldTurf,44,1,21,27
2443,2009,4,SUN,TB,WAS,FedEx Field,69,64,10,NW,Sunny,Grass,37,9,13,16
2444,2009,4,SUN,BUF,MIA,Land Shark Stadium,88,57,10,E,Sunny,Grass,37.5,-1,10,38
2445,2009,4,SUN,NYJ,NO,Louisiana Superdome,80,,,,Dome,MomentumTurf,45.5,7,10,24
2446,2009,4,SUN,DAL,DEN,Invesco Field at Mile High,55,45,6,N,Partly Cloudy,Grass,42.5,-3,10,17
2447,2009,4,SUN,STL,SF,Candlestick Park,60,51,17,W,Sunny,Grass,37,9,0,35
2448,2009,4,SN,SD,PIT,Heinz Field,54,66,4,WNW,Cloudy,Grass,43,6.5,28,38
2449,2009,4,MN,GB,MIN,Mall of America Field at HHH Metrodome,68,,,,Dome,FieldTurf,45,3.5,23,30
2450,2009,5,SUN,CIN,BAL,M&T Bank Stadium,64,51,3,WNW,Sunny,Sportex,42,9,17,14
2451,2009,5,SUN,CLE,BUF,Ralph Wilson Stadium,47,54,13,WNW,Mostly Sunny,AstroPlay,40.5,6,6,3
2452,2009,5,SUN,WAS,CAR,Bank of America Stadium,70,68,7,ENE,Partly Cloudy,Grass,37.5,4,17,20
2453,2009,5,SUN,PIT,DET,Ford Field,68,,,,Dome,FieldTurf,44,-10.5,28,20
2454,2009,5,SUN,DAL,KC,Arrowhead Stadium,40,60,8,E,Cloudy,Grass,42.5,-9,26,20
2455,2009,5,SUN,OAK,NYG,Giants Stadium,61,45,10,W,Sunny,FieldTurf,37.5,15,7,44
2456,2009,5,SUN,TB,PHI,Lincoln Financial Field,62,45,7,WNW,Mostly Sunny,Grass,42,15,14,33
2457,2009,5,SUN,MIN,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41,-10,38,10
2458,2009,5,SUN,ATL,SF,Candlestick Park,58,60,9,SW,Cloudy,Grass,41,2.5,45,10
2459,2009,5,SUN,HOU,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,50,6,21,28
2460,2009,5,SUN,NE,DEN,Invesco Field at Mile High,30,72,4,NW,Cloudy,Grass,41,-3,17,20
2461,2009,5,SUN,JAC,SEA,Qwest Field,55,32,0,CALM,Sunny,FieldTurf,44,1,0,41
2462,2009,5,SN,IND,TEN,LP Field,57,75,4,NE,Clear,Grass,45.5,-3.5,31,9
2463,2009,5,MN,NYJ,MIA,Land Shark Stadium,83,69,7,E,Clear,Grass,36,-1,27,31
2464,2009,6,SUN,HOU,CIN,Paul Brown Stadium,49,47,2,NNE,Sunny,FieldTurf,46,5,28,17
2465,2009,6,SUN,DET,GB,Lambeau Field,46,65,13,S,Sunny,DD GrassMaster,47.5,13.5,0,26
2466,2009,6,SUN,STL,JAC,Jacksonville Municipal Stadium,57,53,17,NNW,Clear,Grass,43,9.5,20,23
2467,2009,6,SUN,BAL,MIN,Mall of America Field at HHH Metrodome,67,,,,Dome,FieldTurf,44,3,31,33
2468,2009,6,SUN,NYG,NO,Louisiana Superdome,56,,,,Dome,MomentumTurf,47,3.5,27,48
2469,2009,6,SUN,CLE,PIT,Heinz Field,41,77,9,NNW,Cloudy,Grass,38,14,14,27
2470,2009,6,SUN,CAR,TB,Raymond James Stadium,64,54,17,N,Sunny,Grass,39.5,-3,28,21
2471,2009,6,SUN,KC,WAS,FedEx Field,45,79,13,NW,Cloudy,Grass,37,6.5,14,6
2472,2009,6,SUN,PHI,OAK,O.co Coliseum Oakland,62,73,15,WSW,Partly Cloudy,Grass,40.5,-14,9,13
2473,2009,6,SUN,ARI,SEA,Qwest Field,58,82,4,S,Cloudy,FieldTurf,46.5,3,27,3
2474,2009,6,SUN,TEN,NE,Gillette Stadium,39,94,19,N,Snow,FieldTurf,43,9,0,59
2475,2009,6,SUN,BUF,NYJ,The Meadowlands,44,37,18,N,Cloudy,FieldTurf,37.5,9.5,16,13
2476,2009,6,SN,CHI,ATL,Georgia Dome,,,,,Dome,FieldTurf,45.5,3.5,14,21
2477,2009,6,MN,DEN,SD,Qualcomm Stadium,68,73,8,WSW,Clear,Grass,43.5,3.5,34,23
2478,2009,7,SUN,CHI,CIN,Paul Brown Stadium,61,40,7,SSE,Partly Cloudy,FieldTurf,42.5,1,10,45
2479,2009,7,SUN,GB,CLE,Cleveland Browns Stadium,50,45,12,VAR,Sunny,Grass,41,-9,31,3
2480,2009,7,SUN,SF,HOU,Reliant Stadium,,,,,Closed Roof,Grass,44,3,21,24
2481,2009,7,SUN,SD,KC,Arrowhead Stadium,58,4,10,SSW,Chance Rain,Grass,44,-4.5,37,7
2482,2009,7,SUN,MIN,PIT,Heinz Field,52,57,5,W,Sunny,Grass,45.5,6,17,27
2483,2009,7,SUN,IND,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45,-13.5,42,6
2484,2009,7,SUN,NE,TB,Wembley Stadium,59,59,16,WSW,Partly Cloudy,Grass,45,-14.5,35,7
2485,2009,7,SUN,BUF,CAR,Bank of America Stadium,67,49,9,ENE,Mostly Cloudy,Grass,37,7,20,9
2486,2009,7,SUN,NYJ,OAK,O.co Coliseum Oakland,70,53,6,NW,Sunny,Grass,35,-6.5,38,0
2487,2009,7,SUN,ATL,DAL,Cowboys Stadium,,,,,Closed Roof,AstroTurf,47.5,4,21,37
2488,2009,7,SUN,NO,MIA,Land Shark Stadium,89,57,2,W,Sunny,Grass,47,-6.5,46,34
2489,2009,7,SN,ARI,NYG,Giants Stadium,57,43,3,WNW,Clear,FieldTurf,46,7,24,17
2490,2009,7,MN,PHI,WAS,FedEx Field,57,47,8,SE,Cloudy,Grass,37.5,-7,27,17
2491,2009,8,SUN,DEN,BAL,M&T Bank Stadium,56,75,8,ENE,Rain,Sportex,41.5,3.5,7,30
2492,2009,8,SUN,HOU,BUF,Ralph Wilson Stadium,49,47,5,NW,Partly Cloudy,AstroPlay,41,-3.5,31,10
2493,2009,8,SUN,CLE,CHI,Soldier Field,50,46,8,SSW,Partly Cloudy,Grass,40,13,6,30
2494,2009,8,SUN,SEA,DAL,Cowboys Stadium,,,,,Closed Roof,AstroTurf,46,9.5,17,38
2495,2009,8,SUN,STL,DET,Ford Field,68,,,,Dome,FieldTurf,43.5,4,17,10
2496,2009,8,SUN,MIN,GB,Lambeau Field,48,56,6,SW,Mostly Cloudy,DD GrassMaster,47,3,38,26
2497,2009,8,SUN,SF,IND,Lucas Oil Stadium,49,49,1,ESE,Sunny,FieldTurf,44.5,12,14,18
2498,2009,8,SUN,MIA,NYJ,The Meadowlands,54,65,10,NW,Cloudy,FieldTurf,40.5,3.5,30,25
2499,2009,8,SUN,OAK,SD,Qualcomm Stadium,78,26,8,WSW,Sunny,Grass,41,16.5,16,24
2500,2009,8,SUN,JAC,TEN,LP Field,59,40,11,N,Sunny,Grass,45,3,13,30
2501,2009,8,SUN,CAR,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,41.5,10,34,21
2502,2009,8,SUN,NYG,PHI,Lincoln Financial Field,56,55,10,N,Cloudy,Grass,44,-1,17,40
2503,2009,8,MN,ATL,NO,Louisiana Superdome,61,,,,Dome,MomentumTurf,54,10.5,27,35
2504,2009,9,SUN,WAS,ATL,Georgia Dome,,,,,Dome,FieldTurf,41,10,17,31
2505,2009,9,SUN,ARI,CHI,Soldier Field,65,71,12,SSE,Partly Cloudy,Grass,44.5,3,41,21
2506,2009,9,SUN,BAL,CIN,Paul Brown Stadium,67,48,7,S,Sunny,FieldTurf,44,-3,7,17
2507,2009,9,SUN,HOU,IND,Lucas Oil Stadium,69,53,9,SSW,Sunny,FieldTurf,48.5,9,17,20
2508,2009,9,SUN,KC,JAC,Jacksonville Municipal Stadium,75,55,12,E,Sunny,Grass,41.5,6.5,21,24
2509,2009,9,SUN,MIA,NE,Gillette Stadium,65,44,8,W,Sunny,FieldTurf,46.5,10.5,17,27
2510,2009,9,SUN,GB,TB,Raymond James Stadium,82,48,19,E,Sunny,Grass,43.5,-9.5,28,38
2511,2009,9,SUN,CAR,NO,Louisiana Superdome,71,,,,Dome,MomentumTurf,51.5,13,20,30
2512,2009,9,SUN,DET,SEA,Qwest Field,48,80,11,SE,Cloudy,FieldTurf,42.5,10,20,32
2513,2009,9,SUN,SD,NYG,Giants Stadium,71,39,2,SW,Sunny,FieldTurf,47.5,4.5,21,20
2514,2009,9,SUN,TEN,SF,Candlestick Park,63,57,5,NE,Sunny,Grass,40.5,4,34,27
2515,2009,9,SN,DAL,PHI,Lincoln Financial Field,61,61,1,WNW,Cloudy,Grass,49,3,20,16
2516,2009,9,MN,PIT,DEN,Invesco Field at Mile High,55,37,7,N,Clear,Grass,39.5,-3,28,10
2517,2009,10,THU,CHI,SF,Candlestick Park,60,51,18,W,Clear,Grass,43.5,3,6,10
