player,first,last,name,position1,start,cteam,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,jnum,dcp
MIN,Minnesota,Vikings,Minnesota Vikings,DF,2000,MIN,,,,,,,,,,,,,,,,
MB-0020,Michael,Badgley,Michael Badgley,K,2018,LAC,70,186,7/28/95,4.94,0,0,111,0,0,0,0,0,Miami (FL),Atlantic Coast (ACC),4,1
DB-0200,Dan,Bailey,Dan Bailey,K,2011,MIN,72,189,1/26/88,4.92,0,0,0,0,0,0,0,0,Oklahoma State,Big 12,5,1
CB-2275,Chris,Boswell,Chris Boswell,K,2014,PIT,74,185,3/16/91,4.93,0,0,0,0,0,0,0,0,Rice,Conference USA (C-USA),9,1
MB-4600,Matt,Bryant,Matt Bryant,K,2002,ATL,69,200,5/29/75,0,0,0,0,0,0,0,0,0,Baylor,Big 12,0,0
RB-4650,Randy,Bullock,Randy Bullock,K,2012,CIN,69,205,12/16/89,0,0,0,0,0,0,29.25,8.375,161,Texas A&M,Big 12,4,1
HB-0500,Harrison,Butker,Harrison Butker,K,2017,KC,76,199,7/14/95,4.93,0,0,0,0,0,31.75,8.75,233,Georgia Tech,Atlantic Coast (ACC),7,1
DC-0450,Daniel,Carlson,Daniel Carlson,K,2018,OAK,77,213,1/23/95,4.96,0,0,0,0,0,32,9.75,167,Auburn,Southeastern (SEC),8,1
MC-3000,Mason,Crosby,Mason Crosby,K,2007,GB,73,207,9/3/84,0,0,0,0,0,0,0,0,193,Colorado,Big 12,2,1
JE-0250,Jake,Elliott,Jake Elliott,K,2017,PHI,69,167,1/21/95,4.79,0,0,0,0,0,29,9,153,Memphis,American Athletic,4,1
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,2016,HOU,71,182,1/29/94,4.96,0,0,0,0,7.75,0,0,0,UCLA,Pacific 12,7,1
SF-0050,Sam,Ficken,Sam Ficken,K,2016,NYJ,74,186,12/14/92,0,0,0,0,0,0,0,0,0,Penn State,Big Ten,9,1
NF-0300,Nick,Folk,Nick Folk,K,2007,NE,73,222,11/5/84,0,0,0,0,0,0,0,0,178,Arizona,Pacific 10,2,1
KF-0250,Kai,Forbath,Kai Forbath,K,2011,DAL,71,191,9/2/87,0,0,0,0,0,0,0,0,0,UCLA,Pacific 10,3,1
MG-0306,Matt,Gay,Matt Gay,K,2019,TB,72,232,3/15/94,5.2,0,0,0,0,0,30.5,9,145,Utah,Pacific 12,9,1
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,2017,ARI,72,202,5/7/95,4.91,0,0,0,0,0,29.5,9,224,Arizona State,Pacific 12,5,1
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,2006,NE,73,215,1/28/84,0,0,0,0,0,0,0,0,118,Memphis,Conference USA (C-USA),3,2
RG-1500,Robbie,Gould,Robbie Gould,K,2005,SF,72,185,12/6/81,0,0,0,0,0,0,0,0,0,Penn State,Big Ten,9,1
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,2008,BUF,76,210,6/29/85,0,0,0,0,0,0,0,0,0,North Carolina State,Atlantic Coast (ACC),4,1
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,2013,WAS,74,193,10/1/90,4.71,0,33.5,116,0,0,31.75,8.875,177,Florida State,Atlantic Coast (ACC),3,1
GJ-1200,Greg,Joseph,Greg Joseph,K,2018,TEN,73,210,8/4/94,0,0,0,0,0,0,0,0,0,Florida Atlantic,Conference USA (C-USA),7,2
YK-0100,Younghoe,Koo,Younghoe Koo,K,2017,ATL,70,190,8/3/94,4.87,0,0,0,0,0,0,0,0,Georgia Southern,Sun Belt,7,1
JL-0207,Josh,Lambo,Josh Lambo,K,2015,JAC,71,220,11/19/90,5.16,0,0,0,0,0,0,0,0,Texas A&M,Southeastern (SEC),4,1
TL-1062,Ty,Long,Ty Long,K,2015,LAC,74,205,4/6/93,4.87,0,0,0,0,0,0,0,0,Alabama-Birmingham,Conference USA (C-USA),1,1
WL-0300,Wil,Lutz,Wil Lutz,K,2016,NO,72,190,7/7/94,5.02,12,0,0,0,0,0,0,0,Georgia State,Sun Belt,3,1
BM-0062,Brett,Maher,Brett Maher,K,2013,NYJ,72,186,11/21/89,0,0,0,0,0,0,31.625,9.125,0,Nebraska,Big Ten,0,2
CM-2137,Chase,McLaughlin,Chase McLaughlin,K,2019,IND,73,190,4/9/96,4.97,0,0,0,0,0,29.625,9.25,0,Illinois,Big Ten,5,1
BM-1650,Brandon,McManus,Brandon McManus,K,2013,DEN,75,201,7/25/91,4.9,8,27.5,0,4.63,6.82,0,0,0,Temple,Big East,8,1
JM-7000,Jason,Myers,Jason Myers,K,2015,SEA,71,190,5/12/91,0,0,0,0,0,0,0,0,0,Marist,0,5,1
MN-0800,Mike,Nugent,Mike Nugent,K,2005,NE,70,190,3/2/82,0,0,0,0,0,0,0,0,47,Ohio State,Big Ten,0,0
CP-0575,Cody,Parkey,Cody Parkey,K,2014,TEN,72,189,2/19/92,5.07,0,0,0,0,0,0,0,0,Auburn,Southeastern (SEC),0,0
EP-0512,Eddy,Pineiro,Eddy Pineiro,K,2018,CHI,72,185,9/13/95,4.84,0,0,0,0,0,0,0,0,Florida,Southeastern (SEC),15,1
MP-2100,Matt,Prater,Matt Prater,K,2006,DET,70,187,8/10/84,0,0,0,0,0,0,0,0,0,Central Florida,Conference USA (C-USA),5,1
AR-1450,Aldrick,Rosas,Aldrick Rosas,K,2016,NYG,74,195,12/30/94,5.12,0,0,0,0,0,0,0,0,Southern Oregon,0,2,1
JS-0350,Jason,Sanders,Jason Sanders,K,2018,MIA,71,184,11/16/95,4.87,0,0,0,0,0,0,0,229,New Mexico,Mountain West (MWC),7,1
CS-0250,Cairo,Santos,Cairo Santos,K,2014,TEN,68,164,11/12/91,4.76,0,0,0,0,0,0,0,0,Tulane,Conference USA (C-USA),0,0
AS-0575,Austin,Seibert,Austin Seibert,K,2019,CLE,69,209,11/15/96,5.14,0,0,0,0,0,30.375,8.875,170,Oklahoma,Big 12,4,1
JS-3825,Joey,Slye,Joey Slye,K,2019,CAR,71,210,4/10/96,0,0,0,0,0,0,0,0,0,Virginia Tech,Atlantic Coast (ACC),4,1
RS-3400,Ryan,Succop,Ryan Succop,K,2009,TEN,75,218,9/19/86,0,0,0,0,0,0,0,0,256,South Carolina,Southeastern (SEC),4,5
JT-3950,Justin,Tucker,Justin Tucker,K,2012,BAL,72,180,11/21/89,0,0,0,0,0,0,0,0,0,Texas,Big 12,9,1
KV-0250,Kaare,Vedvik,Kaare Vedvik,K,2018,BUF,76,209,3/16/94,4.96,0,34,123,0,0,0,0,0,Marshall,Conference USA (C-USA),0,1
AV-0400,Adam,Vinatieri,Adam Vinatieri,K,1996,IND,72,202,12/28/72,0,0,0,0,0,0,0,0,0,South Dakota State,0,4,3
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K,2012,LA,72,187,12/27/87,4.86,0,0,0,0,0,0,0,171,Missouri Western,0,4,1
JA-1087,Josh,Allen,Josh Allen,QB,2018,BUF,77,237,5/21/96,4.75,0,33.5,119,4.4,6.9,33.25,10.125,7,Wyoming,Mountain West (MWC),17,1
KA-0737,Kyle,Allen,Kyle Allen,QB,2018,CAR,75,210,3/8/96,4.78,0,28.5,113,4.26,0,0,0,0,Houston,American Athletic,7,2
BA-0375,Brandon,Allen,Brandon Allen,QB,2016,DEN,73,217,9/5/92,4.75,0,28,110,4.33,7.06,31.25,8.875,201,Arkansas,Southeastern (SEC),2,2
MB-0450,Matt,Barkley,Matt Barkley,QB,2013,BUF,74,227,9/8/90,4.9,0,0,0,4.58,0,30.625,10.125,98,USC,Pacific 12,5,2
DB-2750,David,Blough,David Blough,QB,2019,DET,72,205,7/31/95,4.91,0,31.5,107,4.55,7.22,29.625,9.375,0,Purdue,Big Ten,10,1
BB-2425,Blake,Bortles,Blake Bortles,QB,2014,LA,77,232,4/28/92,4.88,0,32.5,115,4.21,7.08,32.875,9.375,3,Central Florida,American Athletic,5,2
TB-2093,Tim,Boyle,Tim Boyle,QB,2018,GB,75,205,10/3/94,4.88,0,0,0,0,0,0,0,0,Eastern Kentucky,Ohio Valley,8,2
TB-2300,Tom,Brady,Tom Brady,QB,2000,NE,76,225,8/3/77,5.28,0,24.5,99,4.38,7.2,0,0,199,Michigan,Big Ten,12,1
DB-3800,Drew,Brees,Drew Brees,QB,2001,NO,72,209,1/15/79,4.83,0,32,105,4.21,7.09,31.25,10,32,Purdue,Big Ten,9,1
TB-2650,Teddy,Bridgewater,Teddy Bridgewater,QB,2014,NO,74,214,11/10/92,4.79,0,30,113,4.2,7.17,33,9.25,32,Louisville,American Athletic,5,2
JB-5725,Jacoby,Brissett,Jacoby Brissett,QB,2016,IND,76,231,12/11/92,4.9,0,31,113,4.53,7.17,32.25,9.75,91,North Carolina State,Atlantic Coast (ACC),7,1
DC-0725,Derek,Carr,Derek Carr,QB,2014,OAK,74,214,3/28/91,4.67,0,34.5,110,4.2,0,31.5,9.125,36,Fresno State,Mountain West (MWC),4,1
KC-2350,Kirk,Cousins,Kirk Cousins,QB,2012,MIN,75,214,8/19/88,4.84,0,28.5,109,4.5,7.05,31.75,9.875,102,Michigan State,Big Ten,8,1
AD-0100,Andy,Dalton,Andy Dalton,QB,2011,CIN,74,215,10/29/87,4.82,0,29.5,106,4.27,6.93,31.75,9.5,35,Texas Christian,Mountain West (MWC),14,1
CD-0300,Chase,Daniel,Chase Daniel,QB,2009,CHI,72,225,10/7/86,4.79,0,33,108,4.31,7.28,28.75,9.25,0,Missouri,Big 12,4,2
SD-0175,Sam,Darnold,Sam Darnold,QB,2018,NYJ,75,221,6/5/97,4.85,0,26.5,105,4.4,6.96,31,9.375,3,USC,Pacific 12,14,1
JD-2850,Jeff,Driskel,Jeff Driskel,QB,2016,DET,76,234,4/23/93,4.46,0,32,122,4.25,7.19,33.5,9.75,207,Louisiana Tech,Conference USA (C-USA),2,2
LF-0025,Luke,Falk,Luke Falk,QB,2018,NYJ,76,215,12/28/94,4.87,0,26.5,103,0,0,32,9.25,199,Washington State,Pacific 12,0,0
RF-0450,Ryan,Finley,Ryan Finley,QB,2019,CIN,76,213,12/26/94,4.73,0,30.5,116,4.2,7.2,32.875,9.5,104,North Carolina State,Atlantic Coast (ACC),5,2
RF-0500,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,2005,MIA,74,225,11/24/82,4.86,0,30.5,105,4.07,7.09,0,0,250,Harvard,Ivy League,14,1
JF-1900,Joe,Flacco,Joe Flacco,QB,2008,DEN,78,245,1/16/85,4.84,0,28.5,110,4.27,6.82,32.875,9.5,18,Delaware,Colonial Athletic (CAA),5,2
NF-0250,Nick,Foles,Nick Foles,QB,2012,JAC,77,243,1/20/89,5.03,0,30.5,112,0,0,34.25,10.625,88,Arizona,Pacific 12,7,2
JG-0650,Jimmy,Garoppolo,Jimmy Garoppolo,QB,2014,SF,74,226,11/2/91,4.94,0,30.5,110,4.26,7.04,31,9.25,62,Eastern Illinois,Ohio Valley,10,1
GG-0310,Garrett,Gilbert,Garrett Gilbert,QB,2014,CLE,76,221,7/1/91,4.86,0,29.5,117,4.41,7.43,30.625,9.375,214,SMU,American Athletic,3,2
MG-0850,Mike,Glennon,Mike Glennon,QB,2013,OAK,79,225,12/12/89,4.94,0,26.5,102,4.52,7.49,33.125,9.625,73,North Carolina State,Atlantic Coast (ACC),7,2
JG-1850,Jared,Goff,Jared Goff,QB,2016,LA,76,215,10/14/94,4.75,0,27,110,4.47,7.17,32.75,9,1,California,Pacific 12,16,1
WG-0750,Will,Grier,Will Grier,QB,2019,CAR,74,217,4/3/95,4.84,0,34,112,4.28,7.09,31.5,9.375,100,West Virginia,Big 12,3,1
RG-1850,Robert,Griffin,Robert Griffin,QB,2012,BAL,74,223,2/12/90,4.33,0,39,120,0,0,32.25,9.5,2,Baylor,Big 12,3,2
RG-1885,Ryan,Griffin,Ryan Griffin,QB,2013,TB,77,208,11/17/89,4.9,21,34.5,113,4.43,7.01,0,0,0,Tulane,Conference USA (C-USA),4,2
DH-1912,Dwayne,Haskins,Dwayne Haskins,QB,2019,WAS,75,231,5/3/97,5.04,0,28.5,0,0,0,33.5,9.625,15,Ohio State,Big Ten,7,1
TH-1625,Taysom,Hill,Taysom Hill,QB,2017,NO,74,235,8/23/90,4.46,0,38.5,122,4.37,7.03,0,0,0,Brigham Young,FBS Independents,7,3
DH-3450,Devlin,Hodges,Devlin Hodges,QB,2019,PIT,73,211,4/12/96,4.79,0,32,103,4.53,7.38,30.125,9.25,0,Samford,Southern,6,1
BH-1900,Brian,Hoyer,Brian Hoyer,QB,2009,IND,75,215,10/13/85,5.02,0,32,109,4.42,7.1,32,9.5,0,Michigan State,Big Ten,2,2
BH-2300,Brett,Hundley,Brett Hundley,QB,2015,ARI,75,226,6/15/93,4.6,0,36,120,3.98,6.93,32.125,10.5,147,UCLA,Pacific 12,7,2
LJ-0150,Lamar,Jackson,Lamar Jackson,QB,2018,BAL,74,216,1/7/97,0,0,0,0,0,0,33.125,9.5,32,Louisville,Atlantic Coast (ACC),8,1
DJ-2275,Daniel,Jones,Daniel Jones,QB,2019,NYG,77,221,5/27/97,4.72,0,33.5,120,4.41,7,32.5,9.75,6,Duke,Atlantic Coast (ACC),8,1
CK-0250,Case,Keenum,Case Keenum,QB,2012,WAS,73,210,2/17/88,4.72,18,32.5,103,4.28,6.87,30.875,9.125,0,Houston,Conference USA (C-USA),8,2
DL-1787,Drew,Lock,Drew Lock,QB,2019,DEN,76,228,11/10/96,4.69,0,31,112,4.12,7.03,32.5,9,42,Missouri,Southeastern (SEC),3,1
PM-0025,Patrick,Mahomes,Patrick Mahomes,QB,2017,KC,74,225,9/17/95,4.8,0,30,113,4.08,6.88,33.25,9.25,10,Texas Tech,Big 12,15,1
EM-0200,Eli,Manning,Eli Manning,QB,2004,NYG,77,218,1/3/81,4.9,0,0,0,0,0,30.75,9.75,1,Mississippi,Southeastern (SEC),10,2
SM-0425,Sean,Mannion,Sean Mannion,QB,2015,MIN,78,229,4/25/92,5.06,0,31,105,4.39,7.29,33.5,9,89,Oregon State,Pacific 12,4,2
MM-0912,Marcus,Mariota,Marcus Mariota,QB,2015,TEN,76,222,10/30/93,4.43,0,36,121,4.11,6.87,32,9.875,2,Oregon,Pacific 12,8,2
BM-0650,Baker,Mayfield,Baker Mayfield,QB,2018,CLE,73,215,4/14/95,4.84,0,29,111,4.28,7,30.25,9.25,1,Oklahoma,Big 12,6,1
AM-1150,A.J.,McCarron,A.J. McCarron,QB,2014,HOU,75,220,9/13/90,4.9,0,28,99,4.34,7.18,31.5,10,164,Alabama,Southeastern (SEC),2,2
JM-2900,Josh,McCown,Josh McCown,QB,2002,PHI,76,215,7/4/79,4.59,0,38.5,120,3.9,6.85,0,0,81,Sam Houston State,Southland,18,2
CM-1500,Colt,McCoy,Colt McCoy,QB,2010,WAS,73,215,9/5/86,4.79,0,0,114,0,0,31,9.375,85,Texas,Big 12,12,3
TM-2362,Trace,McSorley,Trace McSorley,QB,2019,BAL,72,202,8/23/95,4.57,0,33,115,4.12,7.09,31,9.125,197,Penn State,Big Ten,7,3
GM-1350,Gardner,Minshew,Gardner Minshew,QB,2019,JAC,73,225,5/16/96,4.97,0,33.5,116,4.45,7.14,31.75,10.125,178,Washington State,Pacific 12,15,1
MM-4700,Matt,Moore,Matt Moore,QB,2007,KC,75,216,8/9/84,0,0,0,0,0,0,31.25,8.5,0,Oregon State,Pacific 10,8,2
NM-0687,Nick,Mullens,Nick Mullens,QB,2017,SF,73,199,3/21/95,4.9,0,31,104,4.47,7.4,0,0,0,Southern Mississippi,Conference USA (C-USA),4,2
KM-3500,Kyler,Murray,Kyler Murray,QB,2019,ARI,70,207,8/7/97,4.4,0,0,0,0,0,28.5,9.5,1,Oklahoma,Big 12,1,1
CN-0500,Cam,Newton,Cam Newton,QB,2011,CAR,77,244,5/11/89,4.56,0,35,126,4.18,6.92,33.75,9.875,1,Auburn,Southeastern (SEC),1,5
DP-2037,Dak,Prescott,Dak Prescott,QB,2016,DAL,74,226,7/29/93,4.74,0,32.5,116,4.32,7.11,32.25,10.875,135,Mississippi State,Southeastern (SEC),4,1
PR-0300,Philip,Rivers,Philip Rivers,QB,2004,LAC,77,228,12/8/81,5.08,0,0,0,0,0,32.25,9.25,4,North Carolina State,Atlantic Coast (ACC),17,1
AR-1300,Aaron,Rodgers,Aaron Rodgers,QB,2005,GB,74,225,12/2/83,4.71,0,34.5,110,4.32,7.12,32.625,9.375,24,California,Pacific 10,12,1
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB,2004,PIT,77,241,3/2/82,4.75,0,0,0,0,0,32,9.875,11,Miami (OH),Mid-American (MAC),7,3
JR-3250,Josh,Rosen,Josh Rosen,QB,2018,MIA,76,226,2/10/97,4.92,0,31,111,4.28,7.09,31.75,9.875,10,UCLA,Pacific 12,3,2
MR-2350,Mason,Rudolph,Mason Rudolph,QB,2018,PIT,77,235,7/17/95,4.9,0,28.5,107,4.56,0,32.375,9.125,76,Oklahoma State,Big 12,2,5
MR-2500,Matt,Ryan,Matt Ryan,QB,2008,ATL,77,220,5/17/85,4.89,0,0,0,4.51,7.4,32.375,9.5,3,Boston College,Atlantic Coast (ACC),2,1
MS-0200,Matt,Schaub,Matt Schaub,QB,2004,ATL,78,240,6/25/81,5.04,0,30.5,110,4.66,7.65,31.75,9.75,90,Virginia,Atlantic Coast (ACC),8,2
TS-1450,Trevor,Siemian,Trevor Siemian,QB,2015,NYJ,75,220,12/26/92,4.94,0,0,0,0,0,0,0,250,Northwestern,Big Ten,19,3
MS-4100,Matthew,Stafford,Matthew Stafford,QB,2009,DET,75,232,2/7/88,4.81,0,30.5,107,4.47,7.06,33.25,10,1,Georgia,Southeastern (SEC),9,4
JS-6787,Jarrett,Stidham,Jarrett Stidham,QB,2019,NE,74,218,8/8/96,4.81,0,31,110,4.33,7.28,32,9.125,133,Auburn,Southeastern (SEC),4,2
RT-0150,Ryan,Tannehill,Ryan Tannehill,QB,2012,TEN,76,222,7/27/88,4.65,0,0,0,0,0,32.625,9,8,Texas A&M,Big 12,17,1
AT-0160,Alex,Tanney,Alex Tanney,QB,2012,NYG,75,223,11/11/87,4.96,0,29,103,4.45,7.13,0,0,0,Monmouth,0,3,3
TT-0500,Tyrod,Taylor,Tyrod Taylor,QB,2011,LAC,73,215,8/3/89,4.47,0,37.5,126,4.09,6.78,32.25,10,180,Virginia Tech,Atlantic Coast (ACC),5,2
MT-1800,Mitchell,Trubisky,Mitchell Trubisky,QB,2017,CHI,74,222,8/20/94,4.67,0,27.5,115,4.25,6.87,32,9.5,2,North Carolina,Atlantic Coast (ACC),10,1
DW-1725,Deshaun,Watson,Deshaun Watson,QB,2017,HOU,74,221,9/14/95,4.66,0,32.5,117,4.31,6.95,33,9.75,12,Clemson,Atlantic Coast (ACC),4,1
CW-1425,Carson,Wentz,Carson Wentz,QB,2016,PHI,77,237,12/30/92,4.65,0,30.5,118,4.15,6.86,33.25,10,2,North Dakota State,Missouri Valley,11,1
RW-3850,Russell,Wilson,Russell Wilson,QB,2012,SEA,71,206,11/29/88,4.53,0,34,118,4.09,6.97,31,10.25,75,Wisconsin,Big Ten,3,1
JW-5650,Jameis,Winston,Jameis Winston,QB,2015,TB,76,231,1/6/94,4.91,0,28.5,103,4.36,7.16,32,9.375,1,Florida State,Atlantic Coast (ACC),3,1
AA-0025,Ameer,Abdullah,Ameer Abdullah,RB,2015,MIN,69,205,6/13/93,4.5,24,42.5,130,3.95,6.79,30,8.625,54,Nebraska,Big Ten,31,3
JA-0275,Josh,Adams,Josh Adams,RB,2018,NYJ,74,213,10/29/96,4.52,18,34,122,0,6.78,0,0,0,Notre Dame,FBS Independents,36,4
JA-0450,Jay,Ajayi,Jay Ajayi,RB,2015,PHI,72,221,6/15/93,4.52,19,39,121,4.1,7.1,32,10,149,Boise State,Mountain West (MWC),0,0
JA-1025,Javorius,Allen,Javorius Allen,RB,2015,NYG,72,221,8/27/91,4.5,11,35.5,121,4.28,6.96,31.75,9.375,125,USC,Pacific 12,37,4
CA-0750,C.J.,Anderson,C.J. Anderson,RB,2013,DET,68,224,2/10/91,4.53,17,33,119,4.12,7.15,30,9,0,California,Pacific 12,0,0
AA-0557,Alex,Armah,Alex Armah,RB,2017,CAR,74,253,5/17/94,4.7,26,34.5,122,4.29,7,0,0,192,West Georgia,0,40,1
RA-1337,Ryquell,Armstead,Ryquell Armstead,RB,2019,JAC,71,220,10/30/96,4.45,22,30,114,4.29,7.02,30.625,9.125,140,Temple,American Athletic,23,2
KB-0150,Kalen,Ballage,Kalen Ballage,RB,2018,MIA,73,228,12/22/95,4.46,15,33.5,122,0,0,32.75,9.5,131,Arizona State,Pacific 12,27,2
PB-0125,Peyton,Barber,Peyton Barber,RB,2016,TB,70,228,6/27/94,4.49,20,32.5,111,4.21,7,0,0,0,Auburn,Southeastern (SEC),25,2
SB-0212,Saquon,Barkley,Saquon Barkley,RB,2018,NYG,72,233,2/7/97,4.4,29,41,0,4.24,0,31.375,9.5,2,Penn State,Big Ten,26,1
KB-0350,Kenjon,Barner,Kenjon Barner,RB,2013,ATL,69,196,4/28/89,4.39,20,35.5,122,4.14,6.87,29.625,9.125,182,Oregon,Pacific 12,38,3
NB-0125,Nick,Bawden,Nick Bawden,RB,2018,DET,74,245,6/22/96,4.72,0,0,109,4.37,7.16,30.5,9.25,237,San Diego State,Mountain West (MWC),46,5
AB-1125,Andrew,Beck,Andrew Beck,RB,2019,DEN,75,254,5/15/96,4.63,23,34,119,4.26,7.34,30.25,9.125,0,Texas,Big 12,83,1
LB-0250,Le'Veon,Bell,Le'Veon Bell,RB,2013,NYJ,73,230,2/18/92,4.56,24,31.5,118,4.24,6.75,31.5,9.625,48,Michigan State,Big Ten,26,1
NB-0200,Nick,Bellore,Nick Bellore,RB,2011,SEA,73,250,5/12/89,4.84,23,32.5,109,4,6.98,0,0,0,Central Michigan,Mid-American (MAC),44,1
GB-0350,Giovani,Bernard,Giovani Bernard,RB,2013,CIN,68,202,11/22/91,4.5,19,33.5,122,4.12,6.91,28,9.375,37,North Carolina,Atlantic Coast (ACC),25,2
KB-1225,Khari,Blasingame,Khari Blasingame,RB,2019,TEN,72,196,7/1/96,4.55,20,38.5,131,4.18,6.94,32.5,9.5,0,Vanderbilt,Southeastern (SEC),41,3
BB-2250,Brandon,Bolden,Brandon Bolden,RB,2012,NE,71,215,1/26/90,4.5,21,38,119,4.32,6.91,32.25,10,0,Mississippi,Southeastern (SEC),38,2
RB-2350,Reggie,Bonnafon,Reggie Bonnafon,RB,2018,CAR,72,206,1/4/96,4.53,20,38,127,4.25,6.97,0,0,0,Louisville,Atlantic Coast (ACC),39,2
DB-2950,Devontae,Booker,Devontae Booker,RB,2016,DEN,71,219,5/27/92,4.56,22,0,0,0,0,31.625,8.625,136,Utah,Pacific 12,23,3
MB-2950,Mike,Boone,Mike Boone,RB,2018,MIN,69,206,6/30/95,4.45,25,42,139,4.38,6.95,0,0,0,Cincinnati,American Athletic,23,4
MB-3537,Matt,Breida,Matt Breida,RB,2017,SF,69,180,2/28/95,4.39,23,42,134,4.34,6.85,0,0,0,Georgia Southern,Sun Belt,22,2
TB-2775,Tony,Brooks-James,Tony Brooks-James,RB,2019,MIN,69,176,12/6/94,4.49,15,35.5,127,4.27,7.06,30.125,8.75,0,Oregon,Pacific 12,35,2
MB-3862,Malcolm,Brown,Malcolm Brown,RB,2015,LA,71,224,5/15/93,4.51,19,34.5,117,4.15,6.86,32.75,10.25,0,Texas,Big 12,34,2
RB-4670,Rex,Burkhead,Rex Burkhead,RB,2013,NE,70,214,7/2/90,4.65,21,39,125,4.09,6.85,30.875,9.75,190,Nebraska,Big Ten,34,2
MB-5175,Mike,Burton,Mike Burton,RB,2015,WAS,71,242,2/1/92,4.65,30,33,116,4.28,7.08,29.25,9.5,168,Rutgers,Big Ten,45,2
TC-0325,Trenton,Cannon,Trenton Cannon,RB,2018,NYJ,70,182,7/23/94,4.4,17,38.5,129,4.04,7.02,0,0,204,Virginia State,0,25,1
TC-0450,Tra,Carson,Tra Carson,RB,2016,DET,71,227,10/24/92,4.64,19,37,115,4.27,7.1,0,0,0,Texas A&M,Southeastern (SEC),34,5
CC-0750,Chris,Carson,Chris Carson,RB,2017,SEA,72,218,9/16/94,4.58,23,39,130,4.28,7.53,33.25,9.625,249,Oklahoma State,Big 12,32,1
