player,first,last,name,position1,start,cteam,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,jnum,dcp,bye_week,injury_week
KV-0250,Kaare,Vedvik,Kaare Vedvik,K,2018,BUF,76.0,209.0,3/16/94,4.96,0.0,34.0,123.0,0.0,0.0,0.0,0.0,0.0,Marshall,Conference USA (C-USA),0.0,1.0,6,18
AV-0400,Adam,Vinatieri,Adam Vinatieri,K,1996,IND,72.0,202.0,12/28/72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Dakota State,0,4.0,3.0,6,14
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K,2012,LA,72.0,187.0,12/27/87,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,Missouri Western,0,4.0,1.0,9,18
JA-1087,Josh,Allen,Josh Allen,QB,2018,BUF,77.0,237.0,5/21/96,4.75,0.0,33.5,119.0,4.4,6.9,33.25,10.125,7.0,Wyoming,Mountain West (MWC),17.0,1.0,6,18
KA-0737,Kyle,Allen,Kyle Allen,QB,2018,CAR,75.0,210.0,3/8/96,4.78,0.0,28.5,113.0,4.26,0.0,0.0,0.0,0.0,Houston,American Athletic,7.0,2.0,7,18
BA-0375,Brandon,Allen,Brandon Allen,QB,2016,DEN,73.0,217.0,9/5/92,4.75,0.0,28.0,110.0,4.33,7.06,31.25,8.875,201.0,Arkansas,Southeastern (SEC),2.0,2.0,10,18
MB-0450,Matt,Barkley,Matt Barkley,QB,2013,BUF,74.0,227.0,9/8/90,4.9,0.0,0.0,0.0,4.58,0.0,30.625,10.125,98.0,USC,Pacific 12,5.0,2.0,6,18
DB-2750,David,Blough,David Blough,QB,2019,DET,72.0,205.0,7/31/95,4.91,0.0,31.5,107.0,4.55,7.22,29.625,9.375,0.0,Purdue,Big Ten,10.0,1.0,5,18
BB-2425,Blake,Bortles,Blake Bortles,QB,2014,LA,77.0,232.0,4/28/92,4.88,0.0,32.5,115.0,4.21,7.08,32.875,9.375,3.0,Central Florida,American Athletic,5.0,2.0,9,18
TB-2093,Tim,Boyle,Tim Boyle,QB,2018,GB,75.0,205.0,10/3/94,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Kentucky,Ohio Valley,8.0,2.0,11,18
TB-2300,Tom,Brady,Tom Brady,QB,2000,NE,76.0,225.0,8/3/77,5.28,0.0,24.5,99.0,4.38,7.2,0.0,0.0,199.0,Michigan,Big Ten,12.0,1.0,10,18
DB-3800,Drew,Brees,Drew Brees,QB,2001,NO,72.0,209.0,1/15/79,4.83,0.0,32.0,105.0,4.21,7.09,31.25,10.0,32.0,Purdue,Big Ten,9.0,1.0,9,3
TB-2650,Teddy,Bridgewater,Teddy Bridgewater,QB,2014,NO,74.0,214.0,11/10/92,4.79,0.0,30.0,113.0,4.2,7.17,33.0,9.25,32.0,Louisville,American Athletic,5.0,2.0,9,18
JB-5725,Jacoby,Brissett,Jacoby Brissett,QB,2016,IND,76.0,231.0,12/11/92,4.9,0.0,31.0,113.0,4.53,7.17,32.25,9.75,91.0,North Carolina State,Atlantic Coast (ACC),7.0,1.0,6,18
DC-0725,Derek,Carr,Derek Carr,QB,2014,OAK,74.0,214.0,3/28/91,4.67,0.0,34.5,110.0,4.2,0.0,31.5,9.125,36.0,Fresno State,Mountain West (MWC),4.0,1.0,6,18
KC-2350,Kirk,Cousins,Kirk Cousins,QB,2012,MIN,75.0,214.0,8/19/88,4.84,0.0,28.5,109.0,4.5,7.05,31.75,9.875,102.0,Michigan State,Big Ten,8.0,1.0,12,18
AD-0100,Andy,Dalton,Andy Dalton,QB,2011,CIN,74.0,215.0,10/29/87,4.82,0.0,29.5,106.0,4.27,6.93,31.75,9.5,35.0,Texas Christian,Mountain West (MWC),14.0,1.0,9,18
CD-0300,Chase,Daniel,Chase Daniel,QB,2009,CHI,72.0,225.0,10/7/86,4.79,0.0,33.0,108.0,4.31,7.28,28.75,9.25,0.0,Missouri,Big 12,4.0,2.0,6,18
SD-0175,Sam,Darnold,Sam Darnold,QB,2018,NYJ,75.0,221.0,6/5/97,4.85,0.0,26.5,105.0,4.4,6.96,31.0,9.375,3.0,USC,Pacific 12,14.0,1.0,4,2
JD-2850,Jeff,Driskel,Jeff Driskel,QB,2016,DET,76.0,234.0,4/23/93,4.46,0.0,32.0,122.0,4.25,7.19,33.5,9.75,207.0,Louisiana Tech,Conference USA (C-USA),2.0,2.0,5,1
LF-0025,Luke,Falk,Luke Falk,QB,2018,NYJ,76.0,215.0,12/28/94,4.87,0.0,26.5,103.0,0.0,0.0,32.0,9.25,199.0,Washington State,Pacific 12,0.0,0.0,4,18
RF-0450,Ryan,Finley,Ryan Finley,QB,2019,CIN,76.0,213.0,12/26/94,4.73,0.0,30.5,116.0,4.2,7.2,32.875,9.5,104.0,North Carolina State,Atlantic Coast (ACC),5.0,2.0,9,18
RF-0500,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,2005,MIA,74.0,225.0,11/24/82,4.86,0.0,30.5,105.0,4.07,7.09,0.0,0.0,250.0,Harvard,Ivy League,14.0,1.0,5,18
JF-1900,Joe,Flacco,Joe Flacco,QB,2008,DEN,78.0,245.0,1/16/85,4.84,0.0,28.5,110.0,4.27,6.82,32.875,9.5,18.0,Delaware,Colonial Athletic (CAA),5.0,2.0,10,9
NF-0250,Nick,Foles,Nick Foles,QB,2012,JAC,77.0,243.0,1/20/89,5.03,0.0,30.5,112.0,0.0,0.0,34.25,10.625,88.0,Arizona,Pacific 12,7.0,2.0,10,2
JG-0650,Jimmy,Garoppolo,Jimmy Garoppolo,QB,2014,SF,74.0,226.0,11/2/91,4.94,0.0,30.5,110.0,4.26,7.04,31.0,9.25,62.0,Eastern Illinois,Ohio Valley,10.0,1.0,4,18
GG-0310,Garrett,Gilbert,Garrett Gilbert,QB,2014,CLE,76.0,221.0,7/1/91,4.86,0.0,29.5,117.0,4.41,7.43,30.625,9.375,214.0,SMU,American Athletic,3.0,2.0,7,18
MG-0850,Mike,Glennon,Mike Glennon,QB,2013,OAK,79.0,225.0,12/12/89,4.94,0.0,26.5,102.0,4.52,7.49,33.125,9.625,73.0,North Carolina State,Atlantic Coast (ACC),7.0,2.0,6,18
JG-1850,Jared,Goff,Jared Goff,QB,2016,LA,76.0,215.0,10/14/94,4.75,0.0,27.0,110.0,4.47,7.17,32.75,9.0,1.0,California,Pacific 12,16.0,1.0,9,18
WG-0750,Will,Grier,Will Grier,QB,2019,CAR,74.0,217.0,4/3/95,4.84,0.0,34.0,112.0,4.28,7.09,31.5,9.375,100.0,West Virginia,Big 12,3.0,1.0,7,18
RG-1850,Robert,Griffin,Robert Griffin,QB,2012,BAL,74.0,223.0,2/12/90,4.33,0.0,39.0,120.0,0.0,0.0,32.25,9.5,2.0,Baylor,Big 12,3.0,2.0,8,18
RG-1885,Ryan,Griffin,Ryan Griffin,QB,2013,TB,77.0,208.0,11/17/89,4.9,21.0,34.5,113.0,4.43,7.01,0.0,0.0,0.0,Tulane,Conference USA (C-USA),4.0,2.0,7,18
DH-1912,Dwayne,Haskins,Dwayne Haskins,QB,2019,WAS,75.0,231.0,5/3/97,5.04,0.0,28.5,0.0,0.0,0.0,33.5,9.625,15.0,Ohio State,Big Ten,7.0,1.0,10,17
TH-1625,Taysom,Hill,Taysom Hill,QB,2017,NO,74.0,235.0,8/23/90,4.46,0.0,38.5,122.0,4.37,7.03,0.0,0.0,0.0,Brigham Young,FBS Independents,7.0,3.0,9,18
DH-3450,Devlin,Hodges,Devlin Hodges,QB,2019,PIT,73.0,211.0,4/12/96,4.79,0.0,32.0,103.0,4.53,7.38,30.125,9.25,0.0,Samford,Southern,6.0,1.0,7,18
BH-1900,Brian,Hoyer,Brian Hoyer,QB,2009,IND,75.0,215.0,10/13/85,5.02,0.0,32.0,109.0,4.42,7.1,32.0,9.5,0.0,Michigan State,Big Ten,2.0,2.0,6,18
BH-2300,Brett,Hundley,Brett Hundley,QB,2015,ARI,75.0,226.0,6/15/93,4.6,0.0,36.0,120.0,3.98,6.93,32.125,10.5,147.0,UCLA,Pacific 12,7.0,2.0,12,18
LJ-0150,Lamar,Jackson,Lamar Jackson,QB,2018,BAL,74.0,216.0,1/7/97,0.0,0.0,0.0,0.0,0.0,0.0,33.125,9.5,32.0,Louisville,Atlantic Coast (ACC),8.0,1.0,8,18
DJ-2275,Daniel,Jones,Daniel Jones,QB,2019,NYG,77.0,221.0,5/27/97,4.72,0.0,33.5,120.0,4.41,7.0,32.5,9.75,6.0,Duke,Atlantic Coast (ACC),8.0,1.0,11,14
CK-0250,Case,Keenum,Case Keenum,QB,2012,WAS,73.0,210.0,2/17/88,4.72,18.0,32.5,103.0,4.28,6.87,30.875,9.125,0.0,Houston,Conference USA (C-USA),8.0,2.0,10,9
DL-1787,Drew,Lock,Drew Lock,QB,2019,DEN,76.0,228.0,11/10/96,4.69,0.0,31.0,112.0,4.12,7.03,32.5,9.0,42.0,Missouri,Southeastern (SEC),3.0,1.0,10,1
PM-0025,Patrick,Mahomes,Patrick Mahomes,QB,2017,KC,74.0,225.0,9/17/95,4.8,0.0,30.0,113.0,4.08,6.88,33.25,9.25,10.0,Texas Tech,Big 12,15.0,1.0,12,8
EM-0200,Eli,Manning,Eli Manning,QB,2004,NYG,77.0,218.0,1/3/81,4.9,0.0,0.0,0.0,0.0,0.0,30.75,9.75,1.0,Mississippi,Southeastern (SEC),10.0,2.0,11,18
SM-0425,Sean,Mannion,Sean Mannion,QB,2015,MIN,78.0,229.0,4/25/92,5.06,0.0,31.0,105.0,4.39,7.29,33.5,9.0,89.0,Oregon State,Pacific 12,4.0,2.0,12,18
MM-0912,Marcus,Mariota,Marcus Mariota,QB,2015,TEN,76.0,222.0,10/30/93,4.43,0.0,36.0,121.0,4.11,6.87,32.0,9.875,2.0,Oregon,Pacific 12,8.0,2.0,11,18
BM-0650,Baker,Mayfield,Baker Mayfield,QB,2018,CLE,73.0,215.0,4/14/95,4.84,0.0,29.0,111.0,4.28,7.0,30.25,9.25,1.0,Oklahoma,Big 12,6.0,1.0,7,18
AM-1150,A.J.,McCarron,A.J. McCarron,QB,2014,HOU,75.0,220.0,9/13/90,4.9,0.0,28.0,99.0,4.34,7.18,31.5,10.0,164.0,Alabama,Southeastern (SEC),2.0,2.0,10,18
JM-2900,Josh,McCown,Josh McCown,QB,2002,PHI,76.0,215.0,7/4/79,4.59,0.0,38.5,120.0,3.9,6.85,0.0,0.0,81.0,Sam Houston State,Southland,18.0,2.0,10,18
CM-1500,Colt,McCoy,Colt McCoy,QB,2010,WAS,73.0,215.0,9/5/86,4.79,0.0,0.0,114.0,0.0,0.0,31.0,9.375,85.0,Texas,Big 12,12.0,3.0,10,1
TM-2362,Trace,McSorley,Trace McSorley,QB,2019,BAL,72.0,202.0,8/23/95,4.57,0.0,33.0,115.0,4.12,7.09,31.0,9.125,197.0,Penn State,Big Ten,7.0,3.0,8,18
GM-1350,Gardner,Minshew,Gardner Minshew,QB,2019,JAC,73.0,225.0,5/16/96,4.97,0.0,33.5,116.0,4.45,7.14,31.75,10.125,178.0,Washington State,Pacific 12,15.0,1.0,10,18
MM-4700,Matt,Moore,Matt Moore,QB,2007,KC,75.0,216.0,8/9/84,0.0,0.0,0.0,0.0,0.0,0.0,31.25,8.5,0.0,Oregon State,Pacific 10,8.0,2.0,12,18
NM-0687,Nick,Mullens,Nick Mullens,QB,2017,SF,73.0,199.0,3/21/95,4.9,0.0,31.0,104.0,4.47,7.4,0.0,0.0,0.0,Southern Mississippi,Conference USA (C-USA),4.0,2.0,4,18
KM-3500,Kyler,Murray,Kyler Murray,QB,2019,ARI,70.0,207.0,8/7/97,4.4,0.0,0.0,0.0,0.0,0.0,28.5,9.5,1.0,Oklahoma,Big 12,1.0,1.0,12,18
CN-0500,Cam,Newton,Cam Newton,QB,2011,CAR,77.0,244.0,5/11/89,4.56,0.0,35.0,126.0,4.18,6.92,33.75,9.875,1.0,Auburn,Southeastern (SEC),1.0,5.0,7,3
DP-2037,Dak,Prescott,Dak Prescott,QB,2016,DAL,74.0,226.0,7/29/93,4.74,0.0,32.5,116.0,4.32,7.11,32.25,10.875,135.0,Mississippi State,Southeastern (SEC),4.0,1.0,8,18
PR-0300,Philip,Rivers,Philip Rivers,QB,2004,LAC,77.0,228.0,12/8/81,5.08,0.0,0.0,0.0,0.0,0.0,32.25,9.25,4.0,North Carolina State,Atlantic Coast (ACC),17.0,1.0,12,18
AR-1300,Aaron,Rodgers,Aaron Rodgers,QB,2005,GB,74.0,225.0,12/2/83,4.71,0.0,34.5,110.0,4.32,7.12,32.625,9.375,24.0,California,Pacific 10,12.0,1.0,11,18
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB,2004,PIT,77.0,241.0,3/2/82,4.75,0.0,0.0,0.0,0.0,0.0,32.0,9.875,11.0,Miami (OH),Mid-American (MAC),7.0,3.0,7,3
JR-3250,Josh,Rosen,Josh Rosen,QB,2018,MIA,76.0,226.0,2/10/97,4.92,0.0,31.0,111.0,4.28,7.09,31.75,9.875,10.0,UCLA,Pacific 12,3.0,2.0,5,18
MR-2350,Mason,Rudolph,Mason Rudolph,QB,2018,PIT,77.0,235.0,7/17/95,4.9,0.0,28.5,107.0,4.56,0.0,32.375,9.125,76.0,Oklahoma State,Big 12,2.0,5.0,7,6
MR-2500,Matt,Ryan,Matt Ryan,QB,2008,ATL,77.0,220.0,5/17/85,4.89,0.0,0.0,0.0,4.51,7.4,32.375,9.5,3.0,Boston College,Atlantic Coast (ACC),2.0,1.0,9,18
MS-0200,Matt,Schaub,Matt Schaub,QB,2004,ATL,78.0,240.0,6/25/81,5.04,0.0,30.5,110.0,4.66,7.65,31.75,9.75,90.0,Virginia,Atlantic Coast (ACC),8.0,2.0,9,18
TS-1450,Trevor,Siemian,Trevor Siemian,QB,2015,NYJ,75.0,220.0,12/26/92,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,Northwestern,Big Ten,19.0,3.0,4,3
MS-4100,Matthew,Stafford,Matthew Stafford,QB,2009,DET,75.0,232.0,2/7/88,4.81,0.0,30.5,107.0,4.47,7.06,33.25,10.0,1.0,Georgia,Southeastern (SEC),9.0,4.0,5,11
JS-6787,Jarrett,Stidham,Jarrett Stidham,QB,2019,NE,74.0,218.0,8/8/96,4.81,0.0,31.0,110.0,4.33,7.28,32.0,9.125,133.0,Auburn,Southeastern (SEC),4.0,2.0,10,18
RT-0150,Ryan,Tannehill,Ryan Tannehill,QB,2012,TEN,76.0,222.0,7/27/88,4.65,0.0,0.0,0.0,0.0,0.0,32.625,9.0,8.0,Texas A&M,Big 12,17.0,1.0,11,18
AT-0160,Alex,Tanney,Alex Tanney,QB,2012,NYG,75.0,223.0,11/11/87,4.96,0.0,29.0,103.0,4.45,7.13,0.0,0.0,0.0,Monmouth,0,3.0,3.0,11,18
TT-0500,Tyrod,Taylor,Tyrod Taylor,QB,2011,LAC,73.0,215.0,8/3/89,4.47,0.0,37.5,126.0,4.09,6.78,32.25,10.0,180.0,Virginia Tech,Atlantic Coast (ACC),5.0,2.0,12,18
MT-1800,Mitchell,Trubisky,Mitchell Trubisky,QB,2017,CHI,74.0,222.0,8/20/94,4.67,0.0,27.5,115.0,4.25,6.87,32.0,9.5,2.0,North Carolina,Atlantic Coast (ACC),10.0,1.0,6,5
DW-1725,Deshaun,Watson,Deshaun Watson,QB,2017,HOU,74.0,221.0,9/14/95,4.66,0.0,32.5,117.0,4.31,6.95,33.0,9.75,12.0,Clemson,Atlantic Coast (ACC),4.0,1.0,10,18
CW-1425,Carson,Wentz,Carson Wentz,QB,2016,PHI,77.0,237.0,12/30/92,4.65,0.0,30.5,118.0,4.15,6.86,33.25,10.0,2.0,North Dakota State,Missouri Valley,11.0,1.0,10,18
